cgpa,dsa_score,projects,internships,communication,salary_lpa
5.1,96,3,2,1,9.11
9.9,5,5,3,6,13.69
6.9,59,1,3,9,11.88
8.6,19,2,1,5,11.35
9.4,67,1,0,3,13.31
7.0,41,2,1,1,6.94
6.6,44,0,1,10,5.92
8.0,67,3,1,8,10.81
7.9,76,3,1,2,14.79
7.0,38,1,1,1,5.7
8.0,100,1,0,2,14.73
9.7,50,4,1,4,14.58
7.3,16,1,1,9,7.16
6.0,0,0,0,2,2.5
6.9,20,0,3,9,8.05
7.0,69,5,2,1,12.83
5.7,54,2,3,8,8.99
5.8,34,0,2,3,6.32
8.4,48,5,0,10,12.73
6.7,84,0,3,5,10.09
9.8,57,2,1,3,13.78
6.2,5,0,2,3,3.39
5.5,4,4,1,9,6.36
8.8,48,4,1,5,11.97
9.4,40,4,1,4,10.81
6.4,85,1,1,8,13.45
6.0,58,1,2,6,10.89
5.9,76,5,2,7,14.22
7.6,59,4,0,5,10.79
7.3,34,0,0,1,5.11
6.3,66,4,3,1,13.74
5.2,62,4,2,1,8.8
7.4,72,3,3,6,12.57
9.8,19,3,2,6,14.49
8.3,64,0,2,8,11.42
7.5,28,0,3,9,11.1
5.6,79,0,2,2,6.34
6.3,80,0,1,10,10.67
6.5,63,5,2,10,16.16
8.8,95,3,0,7,15.33
9.4,54,4,1,6,13.62
9.5,2,1,2,2,6.2
9.9,61,5,0,2,16.31
9.9,78,1,2,1,13.15
9.8,10,5,2,7,12.41
5.4,10,0,1,5,2.5
5.7,27,0,0,2,5.49
6.5,85,0,2,2,11.77
7.8,53,4,3,1,12.47
5.5,98,1,2,7,9.52
9.2,88,2,1,7,17.46
8.1,56,2,2,7,11.36
7.7,68,4,1,2,10.76
5.8,33,2,1,1,3.05
6.3,9,0,1,2,2.5
5.8,40,2,0,8,4.43
9.3,59,1,3,8,12.78
7.9,18,4,2,3,10.63
8.7,22,4,0,1,8.68
6.5,1,0,3,4,4.87
6.9,74,4,0,9,11.17
7.0,90,0,2,2,11.15
8.8,83,3,0,8,17.36
8.9,38,2,1,5,10.02
6.0,59,1,2,2,8.65
9.7,97,2,3,10,15.88
5.6,59,1,3,6,11.08
9.5,29,4,3,7,12.9
5.5,34,5,0,1,8.49
6.3,73,4,0,4,10.52
9.2,45,2,3,7,13.98
5.9,84,3,3,7,13.74
7.1,87,2,1,1,10.91
7.2,3,4,0,7,8.37
6.2,73,3,2,10,10.89
8.6,37,2,0,8,11.04
9.3,52,2,0,3,10.63
9.4,26,2,3,10,12.77
6.7,37,3,1,7,8.03
7.7,33,4,0,1,8.94
6.2,5,2,2,2,3.17
6.2,79,4,1,10,12.94
5.8,14,4,2,3,6.64
9.7,37,2,3,1,11.38
9.4,19,5,0,5,11.1
8.9,16,1,2,6,9.08
7.6,37,5,3,6,11.52
7.5,92,1,1,7,12.44
7.6,95,3,3,10,14.66
7.7,38,1,1,8,12.28
7.2,51,2,1,1,10.46
5.7,99,2,3,1,12.5
5.6,23,4,2,1,8.51
9.8,95,0,3,4,12.92
7.4,10,5,3,4,5.94
9.8,22,5,2,10,13.34
5.8,34,3,0,4,4.21
7.8,3,3,1,1,6.19
6.0,82,4,3,9,14.02
6.3,86,1,2,3,12.11
5.2,38,4,1,10,6.37
5.6,84,1,1,8,10.37
9.6,78,4,3,9,17.92
6.6,80,1,0,9,10.72
8.0,81,4,0,2,12.39
7.3,57,4,3,7,15.15
7.0,11,1,1,5,5.16
7.7,93,3,3,7,18.36
5.9,61,2,2,8,8.51
9.9,91,1,3,6,17.82
9.1,96,3,2,4,16.51
8.7,18,5,3,10,12.41
7.3,40,0,3,7,9.8
5.8,19,5,0,9,6.81
9.6,5,5,3,3,7.99
6.7,97,3,2,9,9.81
5.3,93,3,0,4,12.22
6.7,94,2,0,5,13.41
9.0,89,0,1,9,16.67
8.1,65,3,0,4,11.58
8.8,52,4,1,3,10.74
9.0,100,1,3,10,16.24
6.1,55,4,1,10,10.57
9.6,64,4,0,4,12.61
7.2,21,4,1,4,10.85
8.2,75,2,0,3,15.01
5.0,82,2,3,1,10.59
10.0,68,2,0,6,13.77
6.4,50,5,3,3,9.6
5.3,19,5,1,9,9.6
7.3,3,2,0,2,4.81
5.6,63,5,2,7,11.06
5.8,68,3,1,6,10.63
8.2,78,2,3,7,13.54
7.0,96,0,2,2,11.75
9.6,50,3,3,5,12.22
6.6,83,3,1,7,13.86
8.6,72,5,0,4,14.06
7.3,27,4,0,9,10.78
8.3,85,0,1,6,11.91
8.0,5,3,1,4,7.18
7.4,60,4,3,1,10.75
9.8,94,2,1,2,16.8
6.7,66,2,3,5,9.99
5.9,94,4,0,5,11.28
8.4,5,3,1,9,8.61
9.2,53,4,3,8,15.46
5.2,78,2,0,2,5.44
7.2,64,1,1,6,9.55
9.5,88,3,3,5,18.46
8.7,46,5,2,2,12.74
10.0,68,3,3,7,16.26
7.7,42,4,2,6,11.84
8.3,88,0,3,1,12.84
6.5,12,5,3,5,7.41
9.7,25,1,3,8,11.48
6.8,9,5,0,4,8.49
8.7,70,2,2,4,11.75
7.0,23,5,0,2,7.5
7.8,32,5,0,3,7.84
8.6,84,4,1,10,17.38
7.5,36,5,2,7,11.6
9.5,14,3,1,2,8.41
7.1,2,5,3,5,9.05
8.2,22,1,1,2,5.45
6.7,92,0,2,5,9.72
7.0,55,3,3,2,8.91
7.2,100,4,3,7,14.75
5.6,21,4,0,6,8.05
5.5,35,3,2,7,6.62
8.3,16,3,0,5,8.83
8.3,40,3,2,3,9.78
8.3,56,5,1,3,14.23
5.1,81,5,3,3,10.82
6.6,37,0,3,5,7.51
6.0,77,3,3,5,12.1
8.9,63,2,3,7,17.6
9.3,29,4,1,1,12.14
6.2,92,3,2,3,11.63
8.3,43,5,0,9,13.31
5.6,15,2,2,10,9.18
6.4,97,4,0,10,11.15
5.7,92,0,2,4,8.61
6.4,5,5,3,2,7.48
8.4,91,0,2,2,12.26
9.6,95,2,3,2,16.29
6.0,83,5,0,10,10.75
7.7,25,5,3,9,14.16
8.5,63,2,2,9,11.11
9.8,54,2,2,8,13.72
8.1,62,0,3,4,12.73
6.3,62,5,2,5,11.96
8.1,64,0,1,9,9.27
6.6,51,0,2,9,6.46
9.9,69,2,2,6,14.69
7.0,53,0,3,9,8.66
8.4,1,0,1,4,5.72
5.1,3,3,2,5,2.5
7.0,96,4,2,9,16.64
9.4,91,1,0,4,14.02
8.1,59,4,0,8,12.71
7.2,17,3,0,5,8.99
9.7,78,1,2,3,13.69
9.3,14,4,1,3,9.21
6.6,38,3,3,7,9.16
7.7,33,4,2,5,10.45
7.4,1,0,0,4,3.38
8.2,81,1,0,8,10.88
6.7,51,1,1,1,4.49
6.2,31,2,3,1,6.5
9.6,51,5,0,10,15.22
9.6,0,4,0,7,9.7
9.2,44,3,0,6,13.41
9.9,52,3,1,1,15.98
8.7,34,5,3,6,14.72
8.8,83,2,2,5,16.7
8.8,25,1,1,6,9.97
7.4,13,0,0,1,6.59
7.3,53,1,1,6,11.93
6.2,89,3,2,6,14.14
8.2,37,2,1,3,10.36
6.4,4,2,2,1,4.5
6.3,97,2,3,10,13.92
7.9,44,5,0,8,11.21
7.0,17,5,1,7,9.89
6.1,62,0,0,8,6.2
9.1,32,0,2,7,9.53
9.3,94,1,1,2,10.78
5.8,29,5,1,5,10.7
5.0,55,2,0,9,6.61
6.7,54,5,0,3,10.96
9.0,24,3,1,10,13.19
9.2,50,3,2,1,13.11
5.7,11,1,0,4,5.06
8.9,65,2,0,4,10.02
5.6,76,0,1,7,11.87
7.0,95,3,2,2,15.24
10.0,32,1,1,3,10.75
6.0,28,1,1,7,7.84
5.8,55,0,0,3,3.88
7.1,69,4,2,9,12.98
8.1,100,5,3,9,20.65
9.7,2,2,3,4,7.06
9.9,24,3,2,6,13.04
5.3,26,5,2,4,8.56
5.7,25,3,1,4,9.05
9.0,46,3,0,7,9.29
6.4,88,2,1,3,13.5
9.4,3,3,2,2,8.5
8.3,82,3,2,3,13.68
5.6,62,4,3,10,9.94
9.2,62,3,3,3,12.92
5.9,68,3,0,4,9.7
7.1,11,0,0,7,2.69
7.8,75,5,1,2,14.93
7.5,25,5,3,3,9.94
8.4,52,1,3,2,9.35
8.3,68,1,0,10,10.73
10.0,60,5,0,10,16.4
10.0,32,1,2,8,11.39
7.6,40,4,2,3,10.93
5.5,48,4,3,7,11.16
8.6,4,5,3,7,12.86
9.9,73,0,0,9,12.58
6.6,10,2,0,2,2.81
7.3,46,3,2,8,11.09
7.1,66,5,2,2,13.59
5.3,8,1,3,6,2.5
8.4,100,1,2,9,13.99
6.8,38,1,2,1,6.19
8.9,1,4,1,2,8.32
9.2,66,5,0,9,14.08
9.1,56,0,3,1,12.56
7.1,64,1,3,7,8.81
6.6,75,1,0,6,7.0
8.7,48,5,2,4,13.25
9.0,83,2,1,9,14.54
7.5,37,1,1,9,6.39
9.5,55,1,3,4,12.16
5.7,16,3,3,1,5.65
9.4,62,2,0,2,11.39
5.5,26,0,1,2,3.7
5.8,70,4,3,10,11.67
7.7,80,2,3,6,16.02
5.3,86,1,0,7,9.49
5.3,93,4,3,3,11.63
5.0,12,4,1,9,5.78
7.2,13,0,2,8,6.27
8.9,93,0,0,8,15.06
5.2,38,0,2,5,4.23
8.3,2,4,2,7,10.48
9.1,28,3,2,6,11.58
5.8,84,4,3,4,15.14
5.7,35,3,3,6,10.41
9.3,7,2,3,4,10.05
9.1,72,3,2,10,15.18
7.7,19,4,3,8,11.48
9.1,35,2,2,8,11.37
5.5,0,5,2,8,9.06
7.0,60,5,2,5,12.84
8.7,44,4,3,10,13.62
6.3,87,5,0,3,11.7
8.8,33,2,2,6,9.0
7.5,20,0,1,1,6.19
8.8,16,2,3,3,8.46
7.3,20,4,0,6,9.7
6.8,45,4,2,5,8.62
6.1,8,2,0,10,4.94
6.0,40,1,3,7,9.67
8.8,86,2,3,5,12.28
5.6,77,4,0,5,13.32
5.4,64,0,3,7,7.73
5.9,90,1,1,8,10.83
5.9,78,1,3,3,11.1
9.1,65,4,2,6,16.25
7.0,87,2,0,6,11.95
10.0,12,0,0,1,8.69
5.7,82,1,1,10,10.8
8.3,29,0,0,6,9.78
7.2,74,2,0,3,11.11
7.0,92,5,3,7,19.13
9.4,50,3,3,7,15.78
9.9,8,5,1,10,9.6
9.4,37,4,0,1,15.22
6.0,41,5,0,5,7.81
6.1,94,1,3,2,13.86
8.3,95,5,1,6,16.64
6.4,57,1,0,6,9.29
8.7,96,2,1,5,13.84
7.8,44,4,1,10,12.74
7.8,41,1,2,6,9.1
9.1,84,1,1,5,16.08
8.6,67,0,3,1,12.4
5.1,52,0,2,3,7.23
5.2,46,3,3,9,5.9
8.0,71,5,1,5,14.06
7.4,76,1,2,10,12.94
6.3,49,2,1,6,8.64
7.1,3,5,2,6,9.93
8.8,10,4,2,5,9.75
9.1,14,0,1,6,7.68
7.8,46,3,3,1,13.02
6.9,62,0,3,1,5.8
6.4,81,1,3,5,12.28
7.6,23,1,0,6,6.01
6.6,79,3,2,6,11.05
7.8,67,1,0,5,10.6
8.4,5,1,0,3,7.5
5.3,35,1,3,8,8.38
5.0,30,2,0,7,4.47
6.1,89,3,3,1,13.83
9.5,93,2,1,5,16.94
8.2,82,1,1,8,12.73
5.9,53,3,0,8,7.44
9.5,49,3,2,3,12.29
7.3,31,0,2,10,9.18
7.4,78,5,1,7,14.22
9.7,8,5,3,5,11.07
5.3,27,3,1,7,3.66
6.1,13,3,2,9,8.27
7.9,49,4,1,3,10.49
6.0,30,2,2,2,7.0
8.4,19,2,0,5,9.63
6.1,38,2,1,1,4.5
5.5,86,0,2,9,9.81
6.0,56,5,2,10,11.62
7.1,83,1,1,7,11.99
5.9,92,1,2,10,13.57
5.7,91,5,2,1,10.97
9.3,35,3,1,7,12.67
6.6,88,3,0,5,13.24
6.8,91,1,2,3,11.47
5.3,96,1,3,4,10.86
6.8,35,4,3,6,11.19
6.3,23,2,2,7,7.57
8.1,59,0,3,2,11.5
6.0,94,5,3,7,15.93
9.4,90,2,2,10,15.18
9.6,57,4,0,1,14.62
5.5,15,2,2,9,7.46
5.5,42,3,2,7,8.55
5.6,72,4,1,4,8.16
8.1,56,5,3,8,14.69
5.6,34,1,3,7,7.26
9.3,34,4,1,8,10.89
8.8,6,5,1,1,8.93
9.1,29,3,0,1,7.46
7.6,67,0,0,7,10.32
10.0,24,1,1,4,10.2
5.2,100,1,1,3,7.34
7.0,8,0,1,5,4.89
6.6,59,4,0,8,10.47
9.7,50,5,1,2,14.99
7.9,84,3,2,10,14.43
9.0,89,3,1,5,14.22
5.9,54,4,2,2,8.56
9.9,63,2,1,1,12.38
7.5,70,2,2,9,12.58
7.5,52,3,2,2,11.06
9.9,18,1,3,5,10.51
6.9,43,0,0,7,6.0
7.0,24,3,3,6,8.7
7.9,46,4,1,3,14.84
5.6,62,0,0,2,4.64
6.6,21,1,2,8,5.85
6.0,25,1,0,5,9.46
5.5,83,4,0,1,10.69
9.3,38,3,3,2,10.56
7.9,20,3,0,6,9.35
6.8,72,3,2,2,10.18
7.0,72,1,0,4,10.7
7.2,83,4,0,2,12.02
8.2,76,0,0,8,10.36
9.6,100,0,0,7,16.93
9.7,58,4,1,8,15.85
7.0,28,3,1,1,8.98
6.6,87,1,0,4,10.68
7.3,26,2,1,3,6.64
7.8,29,0,1,7,8.22
7.3,83,4,2,9,16.58
8.3,89,4,3,3,16.48
7.8,34,1,2,8,11.92
6.6,73,2,3,6,13.15
6.7,93,1,0,9,11.67
6.9,80,2,0,1,10.51
5.5,0,1,3,10,4.8
5.8,67,1,1,5,6.36
8.6,17,2,3,3,9.39
6.9,85,5,1,2,13.82
6.1,6,4,0,10,5.4
7.8,100,1,3,9,15.73
8.8,17,5,2,2,11.17
6.3,42,1,3,5,9.35
9.1,23,5,1,8,13.2
9.6,82,1,0,6,13.92
8.0,39,3,2,2,8.38
8.3,75,1,0,4,13.89
5.3,6,4,2,4,5.25
9.7,45,1,1,3,10.97
7.0,92,5,3,10,16.1
9.6,93,0,3,3,14.6
7.9,21,3,1,8,11.42
5.0,39,0,3,10,8.41
5.2,41,5,0,8,8.77
8.4,57,2,0,8,11.04
7.8,54,4,3,2,13.67
5.1,10,5,2,2,6.07
8.7,77,3,1,8,14.24
9.3,22,0,0,8,8.63
7.5,31,1,1,8,7.29
7.3,84,1,2,5,12.49
5.0,69,5,3,6,12.03
8.9,40,5,3,1,14.49
6.7,92,2,1,3,10.84
9.4,39,5,1,6,14.62
6.9,57,1,0,2,6.38
7.8,24,4,0,2,7.56
6.4,18,2,1,1,4.47
5.8,49,1,2,3,5.57
8.9,56,1,0,10,12.84
7.5,81,2,1,7,11.03
7.7,39,2,2,10,9.45
9.8,90,1,3,3,17.95
9.8,61,2,3,6,14.08
9.3,7,0,1,9,7.45
5.9,74,5,1,4,10.14
8.0,58,2,3,7,13.84
9.4,39,0,2,7,12.02
6.9,47,3,1,9,11.16
5.5,30,5,2,10,10.0
9.1,62,2,0,7,12.44
7.4,57,5,1,6,11.69
7.8,45,3,1,9,9.8
9.9,28,4,3,7,15.97
8.0,40,1,0,4,9.21
7.1,50,0,3,7,8.35
6.8,47,2,1,6,8.83
7.1,31,5,0,3,8.51
5.6,58,4,2,6,8.54
9.0,22,4,2,7,12.05
9.2,50,5,0,10,13.48
6.4,12,2,0,6,3.43
6.5,47,1,0,2,4.23
9.4,79,5,1,10,14.95
5.1,82,3,0,6,8.93
7.6,70,1,2,3,10.96
7.3,75,1,0,8,9.22
8.5,6,5,3,4,11.81
5.8,34,0,3,4,5.97
8.3,66,0,2,9,12.66
6.9,80,4,3,9,14.41
8.1,58,0,3,6,9.95
5.2,86,1,0,4,8.37
7.3,27,5,1,9,8.52
7.6,15,2,3,2,8.78
6.1,8,4,1,8,5.14
5.7,58,2,2,6,10.3
5.9,67,0,3,9,9.02
6.7,28,1,3,5,9.18
5.5,79,4,1,9,9.87
9.7,74,0,1,1,11.35
7.0,36,3,0,8,9.09
9.0,24,2,1,1,10.74
9.9,74,2,1,7,17.43
5.4,67,5,1,2,10.25
8.3,17,3,1,10,12.33
9.4,25,3,3,8,12.16
8.2,49,2,3,2,13.05
7.1,51,2,2,9,9.14
7.2,16,4,0,3,7.81
5.2,95,0,1,6,5.61
7.7,39,1,2,1,6.79
10.0,38,3,0,2,12.26
9.8,6,3,1,3,7.6
5.2,88,0,2,6,9.86
8.5,23,4,3,6,13.1
6.5,99,3,3,9,14.21
9.5,50,1,1,2,9.64
5.2,88,4,1,8,11.03
9.7,18,5,1,1,10.1
9.2,16,2,2,3,9.39
5.6,80,1,1,2,8.74
5.3,82,1,1,2,7.91
9.2,54,3,0,6,14.91
5.8,3,0,1,10,2.5
7.7,95,2,0,7,15.27
9.6,39,0,2,9,9.72
7.8,94,0,3,6,13.71
7.0,87,2,3,1,14.54
7.2,86,4,1,4,15.2
5.3,69,5,3,9,11.9
9.8,67,0,3,1,14.08
6.6,53,1,1,1,8.19
5.9,2,2,3,9,5.02
6.4,39,3,1,1,8.56
9.8,73,5,3,10,21.41
5.5,82,4,1,8,12.35
9.3,56,3,1,7,14.33
8.5,71,0,0,6,11.71
9.2,2,0,3,1,5.17
9.9,47,0,1,5,11.76
9.2,51,3,3,9,13.02
9.7,90,1,0,10,14.12
5.6,31,1,2,5,9.04
9.0,23,4,1,9,11.12
7.7,35,4,1,8,9.57
7.7,17,2,0,1,7.89
9.5,56,5,0,7,13.09
9.9,64,4,1,7,14.91
8.5,80,4,1,6,16.82
7.4,98,5,3,8,17.37
7.3,7,1,1,9,3.61
6.9,24,4,0,6,8.69
6.8,30,5,1,4,8.71
7.0,25,5,2,10,12.98
5.4,83,3,1,10,10.26
5.4,14,4,3,7,8.88
8.9,3,5,1,7,12.89
7.2,86,5,2,2,13.31
9.7,97,5,0,5,17.43
8.1,22,4,0,2,9.22
5.2,33,2,3,6,5.68
5.8,50,4,1,9,10.04
6.0,53,2,1,3,7.48
9.9,100,4,2,10,19.14
6.1,40,4,0,2,7.63
7.6,1,5,2,1,8.34
9.7,42,3,1,10,13.55
9.9,56,2,0,2,11.24
6.2,52,0,1,8,6.44
5.2,51,3,1,8,7.92
5.8,93,3,0,4,10.87
5.3,81,3,2,1,9.58
6.0,25,4,2,4,8.32
7.8,35,5,1,1,7.79
9.6,67,0,3,7,12.76
7.7,41,2,2,9,10.09
8.1,43,4,3,10,12.12
6.0,16,4,0,9,8.99
9.0,25,4,3,8,12.84
8.1,74,4,1,9,14.67
9.3,85,5,2,8,17.28
9.7,79,5,3,7,18.51
6.7,31,3,1,10,6.86
5.5,13,1,1,4,3.2
6.1,16,3,0,5,3.97
7.2,39,4,2,10,10.89
9.7,52,0,3,4,8.53
6.9,90,4,1,3,11.61
8.9,90,3,0,2,16.49
7.7,0,5,1,3,9.16
5.9,71,1,1,6,10.8
6.6,30,5,3,9,13.16
8.3,19,2,0,2,8.22
8.4,56,3,1,7,11.67
7.2,3,3,2,8,5.9
6.1,33,3,0,9,9.02
8.6,55,5,3,8,15.5
5.8,27,1,3,2,9.69
9.7,59,4,1,5,14.1
5.9,46,5,2,10,13.92
5.5,80,1,3,10,10.68
7.5,18,1,2,7,9.44
7.6,5,2,0,10,8.93
7.5,53,4,0,7,9.52
7.2,25,5,1,1,8.25
10.0,71,4,0,10,14.49
7.4,9,4,1,2,5.54
7.4,58,2,2,4,11.76
7.1,99,3,2,3,13.9
5.3,9,1,0,8,2.9
8.0,30,2,0,1,8.39
6.1,85,1,0,7,6.89
8.2,53,0,1,9,11.92
5.3,17,5,3,8,7.76
9.9,21,4,1,4,12.55
7.3,77,3,1,9,13.85
9.5,86,0,2,4,16.21
7.4,36,0,0,7,6.55
5.3,47,0,0,6,2.5
9.1,79,4,0,1,14.33
8.2,17,1,2,1,7.66
8.9,20,1,1,2,6.42
7.1,78,5,2,10,15.21
8.2,18,5,2,10,11.08
9.3,77,4,1,5,13.55
8.2,50,1,3,10,12.93
6.7,99,3,3,1,13.21
8.3,3,1,0,10,5.77
8.4,95,5,3,3,16.9
9.8,22,0,0,1,9.59
6.9,3,4,0,8,6.44
7.1,73,3,2,4,12.4
9.1,53,4,0,3,11.82
7.5,84,2,1,8,13.56
8.7,10,0,0,4,7.87
7.3,8,4,1,8,9.02
6.1,57,3,3,2,11.16
8.7,89,2,3,1,15.96
5.7,40,2,0,4,3.84
6.0,80,2,2,7,9.86
8.1,91,2,1,3,13.14
8.7,87,1,1,2,11.92
9.5,51,1,2,8,11.09
6.4,70,1,3,5,7.72
5.6,53,0,1,5,4.14
9.8,68,5,0,3,14.88
5.8,57,1,3,1,8.07
6.0,53,0,3,1,6.2
6.5,44,0,1,7,6.99
7.6,65,5,2,1,12.63
9.4,75,2,3,3,16.74
8.8,92,1,2,10,15.1
8.5,61,2,1,4,12.76
5.9,10,0,3,8,5.18
6.8,59,1,3,4,7.91
7.4,31,1,2,10,8.63
5.7,2,4,0,9,3.22
6.4,7,0,1,5,3.37
6.5,59,2,2,7,9.02
5.6,95,4,1,5,12.94
7.8,51,5,2,10,11.72
8.5,44,3,2,4,11.77
5.3,8,1,0,9,3.74
7.4,68,2,2,7,13.34
8.9,5,1,2,7,7.01
8.7,84,3,0,4,13.88
9.1,82,1,2,9,15.05
7.2,100,3,2,8,17.44
9.1,28,3,0,9,8.43
6.2,16,5,2,9,7.45
6.8,30,2,1,2,11.06
5.9,80,5,1,9,12.44
7.3,22,2,2,9,5.67
7.0,89,4,0,3,11.83
6.2,15,3,0,10,2.5
8.8,4,4,1,6,9.68
6.6,22,2,3,4,8.78
6.4,76,4,0,3,9.56
5.7,60,2,3,4,8.73
7.2,35,2,0,1,8.34
6.5,66,2,1,7,7.42
6.8,65,4,1,8,9.94
6.2,56,3,1,7,9.26
8.8,51,0,0,6,8.37
9.7,10,4,3,4,11.49
7.5,26,4,1,8,7.82
8.2,53,0,3,9,11.61
9.3,13,5,2,1,11.08
10.0,48,3,2,4,14.76
8.1,11,0,1,10,6.99
9.4,79,2,2,9,15.95
9.5,10,5,3,10,11.1
9.0,9,1,3,2,9.26
7.3,64,5,3,5,13.56
5.4,22,2,0,2,3.57
5.1,35,1,2,9,7.64
7.4,31,2,1,6,7.18
7.5,21,3,3,3,11.21
7.0,76,4,3,1,15.5
7.8,69,5,3,8,16.64
7.8,24,1,0,9,5.8
9.2,69,5,1,9,12.83
5.5,72,3,2,10,12.69
6.1,54,0,2,9,8.26
9.0,58,5,1,8,13.73
9.2,94,2,0,9,17.03
10.0,45,3,0,10,11.97
9.4,38,4,2,5,12.62
9.4,54,0,1,8,12.21
6.6,84,1,1,9,9.49
7.0,71,4,3,2,12.92
6.3,7,1,0,7,5.4
8.0,46,0,3,4,10.08
9.7,74,0,1,2,14.39
6.7,22,4,3,2,10.54
7.8,99,0,3,2,13.43
6.5,81,0,2,9,7.22
5.8,85,3,1,8,9.88
6.0,8,0,0,2,3.17
5.3,58,3,0,7,5.66
9.7,53,3,3,7,14.55
7.0,63,3,0,6,10.87
9.2,85,2,1,7,17.13
8.4,35,4,1,10,10.98
6.0,53,3,2,6,8.65
5.9,68,2,3,7,10.67
9.1,76,0,2,6,13.68
6.3,77,1,3,4,10.58
9.6,34,0,2,9,12.47
5.7,100,0,1,5,8.8
8.4,0,1,0,8,6.16
9.1,49,1,0,7,11.25
6.2,61,0,1,7,7.24
6.4,6,1,0,8,5.21
9.8,45,3,1,8,13.6
6.3,60,1,1,6,9.64
7.1,61,1,1,7,9.97
7.2,12,0,3,6,6.93
6.3,28,0,3,4,5.27
8.9,24,0,2,8,8.14
8.9,64,2,0,9,14.36
6.9,33,3,1,8,9.76
9.2,57,4,2,8,13.41
6.1,73,3,2,9,12.03
5.0,80,3,1,4,6.0
7.9,18,5,1,1,8.44
10.0,91,1,1,4,16.68
5.2,16,4,2,8,6.52
6.0,2,5,0,9,6.34
7.6,4,3,2,6,3.22
9.0,20,5,0,8,10.6
5.4,88,0,2,1,9.26
7.0,20,5,3,7,11.19
8.7,70,3,2,7,15.93
6.9,42,1,1,6,7.47
5.9,4,0,3,8,4.15
6.0,44,4,2,5,7.49
7.1,2,2,1,6,5.29
7.4,48,1,0,7,6.49
9.3,56,2,0,8,9.48
8.2,52,5,0,3,10.37
8.5,28,2,0,4,10.72
9.9,77,0,2,5,13.68
7.1,60,1,2,3,10.0
7.0,25,0,3,4,6.09
9.6,43,4,2,4,11.07
6.2,10,4,3,4,8.96
8.6,93,5,2,5,14.07
8.8,76,3,1,6,13.45
5.5,29,4,2,7,7.88
7.3,68,2,1,4,11.12
6.0,68,3,1,9,9.5
5.9,61,0,1,5,4.41
7.3,5,3,2,8,6.54
6.4,88,3,1,2,10.53
9.0,96,0,2,2,12.87
9.5,98,3,3,5,19.51
9.0,99,4,1,4,14.96
6.3,93,2,1,5,12.09
6.4,74,3,1,2,10.79
6.3,5,1,3,5,6.71
5.7,46,1,0,7,5.9
9.7,24,0,3,8,11.92
7.0,22,1,1,3,5.64
6.1,83,4,3,4,13.85
9.2,82,5,3,6,15.75
7.0,52,3,3,6,7.48
5.2,74,3,3,8,11.78
5.8,13,3,0,4,5.27
8.2,22,2,2,7,10.06
8.9,86,2,0,9,13.48
6.1,45,3,1,3,10.26
9.6,55,4,0,9,13.44
9.3,46,2,2,4,12.81
9.2,20,3,2,4,11.62
6.1,83,2,2,7,14.12
5.3,76,1,0,7,7.49
9.3,69,1,1,6,11.94
6.5,35,0,2,3,3.98
8.1,64,2,3,1,14.65
8.8,96,4,3,10,19.1
5.6,65,4,0,9,10.6
8.9,49,5,1,9,18.83
9.7,27,0,0,6,9.22
8.6,52,4,3,9,12.64
7.2,37,4,0,5,8.84
9.4,61,2,3,1,12.25
7.6,4,1,0,2,3.84
8.7,19,2,0,3,7.25
9.1,79,4,3,4,15.75
8.7,38,5,1,10,11.09
6.4,43,3,1,4,10.78
5.6,54,3,2,7,9.79
6.2,44,3,1,3,7.74
7.5,76,0,2,7,12.43
7.5,24,3,1,6,9.26
7.9,76,0,1,2,10.84
7.0,21,5,1,5,10.01
8.9,37,5,0,2,11.74
9.6,59,3,1,9,15.38
6.2,89,2,2,8,13.41
8.7,23,4,0,10,10.87
8.4,59,3,0,9,11.9
7.6,6,4,2,3,10.49
5.9,7,3,1,8,4.78
9.0,77,1,0,2,12.53
9.8,72,0,2,10,14.91
8.6,38,1,3,8,10.27
9.6,62,3,0,7,12.46
9.9,38,2,0,10,11.34
6.8,28,3,1,9,7.69
8.2,43,1,2,9,8.39
7.4,31,5,0,2,8.22
9.9,82,2,3,1,16.39
5.5,41,5,1,10,11.31
7.1,32,2,0,3,7.71
9.4,54,2,3,5,9.83
6.4,76,3,0,1,10.88
8.9,27,1,0,7,7.76
6.9,94,1,3,9,14.31
9.9,46,2,2,9,13.63
9.4,66,4,1,6,14.68
6.5,96,0,2,7,11.47
8.9,43,2,2,6,11.7
6.7,20,4,2,5,10.48
8.0,75,4,0,6,13.25
8.3,0,2,2,10,9.79
9.1,46,0,1,3,11.11
5.1,98,0,3,5,11.4
6.1,41,2,2,7,5.54
8.6,69,4,0,6,15.23
7.8,53,0,3,1,8.95
7.5,21,5,1,3,10.4
5.3,32,4,1,7,5.84
6.7,52,0,3,7,7.27
9.3,10,2,3,8,13.53
5.2,41,1,3,10,6.02
7.0,41,5,2,7,13.22
9.7,84,3,3,6,17.52
5.3,12,1,0,4,2.5
8.7,85,1,2,4,13.73
6.3,41,3,1,9,6.88
9.3,65,0,1,5,11.72
8.7,56,1,0,8,9.16
9.4,30,0,0,2,7.42
6.1,94,3,1,2,13.14
7.7,22,4,3,3,10.61
8.9,3,2,2,2,5.77
6.2,75,0,1,7,10.22
6.2,62,2,1,7,9.34
5.1,89,5,2,6,11.96
9.8,46,1,0,3,11.76
